,Aryatara Ashtottarashata Nama Stotr,Aryataranamaskaraikavimshati Stotra 2,Aryataranamaskaraikavimshati Stotra,Aryatarasragdhara Stotram,Dakshaprokta Kali Stuti,Dakshinakalika Sahasranama Stotram,Devi Mahatmyam or Durga Saptashati,Gitanjali (1),Gitanjali,Kali Stava Brahmakritam,M00363 - AryamaJjuzrImUlakalpam part 1,M00364 - AryamaJjuzrImUlakalpam part 2,M00365 - AryamaJjuzrImUlakalpam part 3,Mahogratara Stuti,Mahogratarashtaka Stotram,Nairatmashtaka Stotram,Part of bhagavatIpadyapuShpA~njalIs,Prajnaparamita Stotram,Shri Kali Sahasranama Stotram 2,Shri Kali Sahasranama Stotram,Shri Kali Shatanama Stotram,Shri Kali Tandava Stotram,Shri Mahishasuramardini Ashtottaras,Shri Nila Sarasvati Stotram 2,Shri Nila Sarasvati Stotram,Shri Tara Sahasranama Stotram 3,Shri Tara Shatanama Stotram,Shri Tara Takaradi Sahasranamastotr,Shri Tarashatanama Stotram,Shrimad Ugratara Hridayastotram,Tara Stotram or Tara Ashtakam or Sh,Tarashatanamastotra from Brihannila,The-Charypada (1),The-Charypada,Vajradevi Stotram,Vajrayoginipranamaikavishika,Vajrayoginyah Pindartha Stuti,Vasudhara Stotram,arya tara stutih,charyapada_core,durgAstutiH Essence of devI mAhAtmy,gitanjali_bengali_clean,hevajra 1,hevajra sadhana,lalan fakir,ramprasad_sen_ocr,sa_mArkaNDeyapurANa1-93,shrItArAdhyAnam,tArAkavacham,tArAsahasranamastotra from Brihanni
M00363 - AryamaJjuzrImUlakalpam part 1,0.0,0.0,0.0,0.0,0.0,0.0,0.6585885371620047,0.19635678936687626,0.20781664822749016,0.0,0.9999999999999998,0.9700368229745461,0.9394057920297892,0.0,0.0,0.0,0.22176359158798484,0.0,0.0,0.0,0.0,0.0,0.0,0.1948301915261623,0.1948301915261623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2121045309007831,0.2121045309007831,0.0,0.0,0.0,0.11874097362512079,0.0,0.0,0.18204352054234407,0.0,0.629314295468582,0.4346521074672619,0.0,0.0,0.911532773457922,0.0,0.0,0.0
M00364 - AryamaJjuzrImUlakalpam part 2,0.0,0.0,0.0,0.0,0.0,0.0,0.6587244962395826,0.19601700674305805,0.20741361417858423,0.0,0.9700368229745461,0.9999999999999937,0.9446469802966967,0.0,0.0,0.0,0.22171521788194073,0.0,0.0,0.0,0.0,0.0,0.0,0.19362715387247112,0.19362715387247112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21093222616847113,0.21093222616847113,0.0,0.0,0.0,0.11672864862161116,0.0,0.0,0.18339431212425905,0.0,0.6266448499569546,0.4304117100915504,0.0,0.0,0.9072596700158094,0.0,0.0,0.0
M00365 - AryamaJjuzrImUlakalpam part 3,0.0,0.0,0.0,0.0,0.0,0.0,0.6525593645186756,0.19687659647364034,0.20831315227065705,0.0,0.9394057920297892,0.9446469802966967,0.9999999999999957,0.0,0.0,0.0,0.22824535528781398,0.0,0.0,0.0,0.0,0.0,0.0,0.20258437565550305,0.20258437565550305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21444295253663967,0.21444295253663967,0.0,0.0,0.0,0.1220893895274736,0.0,0.0,0.18686677017136294,0.0,0.6256156839627607,0.4363361361562401,0.0,0.0,0.8952763964807066,0.0,0.0,0.0
Mahogratara Stuti,0.4814975710488436,0.4237437065513585,0.4237437065513585,0.44604800667365346,0.3758605895208515,0.3514806536808347,0.0,0.0,0.0,0.33981084690085284,0.0,0.0,0.0,1.0000000000000007,0.4809804854521061,0.293822628336335,0.0,0.4368490376886452,0.4083885197990729,0.4083885197990729,0.30601835870952604,0.3207466260984143,0.2471732349129464,0.0,0.0,0.4435901271730588,0.4169789808890092,0.36360460666070243,0.3536124287981129,0.44864580942976223,0.47584500980047484,0.45502206137499535,0.0,0.0,0.3810447599734834,0.3111718450375449,0.3796546421995739,0.0,0.33626787076654807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198020452346352,0.5144464879387302,0.44972592620339125
Mahogratarashtaka Stotram,0.5608511449800135,0.4559173726323256,0.4559173726323256,0.5744289555213276,0.4408424719980853,0.4263460991879849,0.0,0.0,0.0,0.3674745335357958,0.0,0.0,0.0,0.4809804854521061,1.0000000000000013,0.33158123528613953,0.0,0.47928944164357445,0.48344070297402103,0.48344070297402103,0.37439806521053576,0.3572858048436813,0.20698832618566432,0.0,0.0,0.48990377430678683,0.40788320380251814,0.4443907908534234,0.3747261949440297,0.44694557938027374,0.8147934821169212,0.506825008741629,0.0,0.0,0.3894513568423309,0.31550420907335774,0.3963612640500443,0.0,0.3744635923793416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927936016624532,0.48849792240988826,0.5015700241055482
Nairatmashtaka Stotram,0.3754764186059019,0.31171421215080214,0.31171421215080214,0.33669679856550894,0.3428498282052063,0.3306544228486018,0.0,0.0,0.0,0.3332211320396861,0.0,0.0,0.0,0.293822628336335,0.33158123528613953,1.0,0.0,0.25941386372575226,0.37225105938271946,0.37225105938271946,0.28724746104776844,0.2862980466240835,0.18993296291768288,0.0,0.0,0.3539765480117777,0.3123956199996366,0.3134063671682601,0.28614668962840434,0.3762585067695872,0.33440475368182276,0.3456118348299842,0.0,0.0,0.5100303192649391,0.27605133848439856,0.33347237149830583,0.0,0.16674560558479928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332393498236705,0.35530346464108037,0.37662637005575617
Part of bhagavatIpadyapuShpA~njalIs,0.0,0.0,0.0,0.0,0.0,0.0,0.4180105407246101,0.6412956928424205,0.6478963706607401,0.0,0.22176359158798484,0.22171521788194073,0.22824535528781398,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.3992612497242028,0.3992612497242028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6118186717811724,0.6118186717811724,0.0,0.0,0.0,0.25720044476094434,0.0,0.0,0.6247524702478654,0.0,0.22600962128739602,0.18003578332679346,0.0,0.0,0.2508069005629528,0.0,0.0,0.0
Prajnaparamita Stotram,0.5384060580345029,0.4295438951265351,0.4295438951265351,0.54390694590266,0.4701309774952066,0.3592185848483403,0.0,0.0,0.0,0.34820777021597976,0.0,0.0,0.0,0.4368490376886452,0.47928944164357445,0.25941386372575226,0.0,1.0000000000000004,0.4189365852316798,0.4189365852316798,0.31201152392586995,0.2809352876147657,0.2361594333009961,0.0,0.0,0.44636439312852405,0.34733257961244896,0.39781327327738514,0.30983022099724933,0.42958182599749106,0.47965379529880153,0.45233724654131285,0.0,0.0,0.4059943424301888,0.3911666883149589,0.34405359551328807,0.0,0.34276645087167934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29153569628440135,0.40756871375258835,0.434439055404775
Shri Kali Sahasranama Stotram 2,0.6429020263467174,0.4754475112396818,0.4754475112396818,0.6308801570554079,0.5011246175327501,0.953494873164407,0.0,0.0,0.0,0.43009615734122075,0.0,0.0,0.0,0.4083885197990729,0.48344070297402103,0.37225105938271946,0.0,0.4189365852316798,0.9999999999999994,0.9999999999999994,0.5645026651699114,0.3265914832194925,0.3295462397034461,0.0,0.0,0.813204356335022,0.5758511509239729,0.7134765824324935,0.5103698297907923,0.5412953435773183,0.5522251786161045,0.6615438824850792,0.0,0.0,0.5269314941383434,0.37389813248231957,0.4768637687535409,0.0,0.41558022187880705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296515515147928,0.5855675103912017,0.8674703011302476
Shri Kali Sahasranama Stotram,0.6429020263467174,0.4754475112396818,0.4754475112396818,0.6308801570554079,0.5011246175327501,0.953494873164407,0.0,0.0,0.0,0.43009615734122075,0.0,0.0,0.0,0.4083885197990729,0.48344070297402103,0.37225105938271946,0.0,0.4189365852316798,0.9999999999999994,0.9999999999999994,0.5645026651699114,0.3265914832194925,0.3295462397034461,0.0,0.0,0.813204356335022,0.5758511509239729,0.7134765824324935,0.5103698297907923,0.5412953435773183,0.5522251786161045,0.6615438824850792,0.0,0.0,0.5269314941383434,0.37389813248231957,0.4768637687535409,0.0,0.41558022187880705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296515515147928,0.5855675103912017,0.8674703011302476
